FAC_NAME,DISTRICT,FACILITY,PHONE,BOX_NO,FAX,DIST_DHO,TIME,X,Y,CO_ORDINAT,NEAR_FAC,DATE_APPR,ROAD,NO_BED,OCCUP_RATE,DAT_CONSTR,FUNDEDBY,OWNER,POPULATION,NO_OP,NO_BIRTH_,PLAN_DHO,PLAN_MOW,DONATION,PERC_DONA,BUDG_APPRO,BUDG_ACT,COST_ACT,DIFFER_BY,REVENUE,FACODE,OBJECTID,IFDCMAP,LATITUDE,LONGITUDE,BUSI_DESCR,BUSI_NAME,ADDRESS,TA_VILLAGE,EPA,ID_ACC,POINTID
MAYANI,DEDZA,DISPENSARY/MATERNITY,,BOX 141 MAYANI,,"56.3",1hr 10min,34.250000,-14.100000,14 06 00 - 34 15,,1998/05/01,DIRT - POOR,"8","11",,LOCAL GOVERNMENT,MOH/LG,"42000","0","144","0","0",,"0",0.00,0.00,0.00,,0.00,"340","0",,0.00000000000,0.00000000000,,,,,,"74","74"
MIKONDO,DEDZA,DISPENSARY/MATERNITY,,BOX 4 CHIMOYO,,"65.8",1hr 23min,33.938889,-14.445833,14 26 45 - 33 56,"10",1998/04/30,TAR/DIRT - POOR,"18","4","1992",CATHOLIC CHURCH,CHAM,"30310","6250","240","0","1",,"0",0.00,0.00,0.00,,42000.00,"341","0",,0.00000000000,0.00000000000,,,,,,"75","75"
MLANGALI,DEDZA,DISPENSARY,,BOX 136 DEDZA,,"7.3",10min,34.277222,-14.403889,14 24 14 - 34 16,,1998/04/27,TAR/DIRT - POOR,"0","0","1995",,MOH,"11811","25000","0","0","1",,"0",0.00,0.00,0.00,,0.00,"342","0",,0.00000000000,0.00000000000,,,,,,"76","76"
MONI,DEDZA,DISPENSARY,"220273",BOX 212 DEDZA,,"1.5",5min,34.329167,-14.375000,14 22 30 - 34 19,,1998/04/27,TAR - POOR,"0","0","1995",PRIVATE,PVT,"0","7000","0","0","0",,"0",0.00,0.00,0.00,,0.00,"343","0",,0.00000000000,0.00000000000,,,,,,"77","77"
MPHATHI,DEDZA,DISPENSARY/MATERNITY,,BOX 79 LOBI,,"71.4",1hr 24min,34.081944,-14.483333,14 29 00 - 34 04,"40",1998/04/30,TAR/DIRT - POOR,"9","0","1988",UNHCR/CSC,MOH,"6000","20000","216","0","1",,"0",0.00,0.00,0.00,,0.00,"344","0",,0.00000000000,0.00000000000,,,,,,"78","78"
MPHUNZI,DEDZA,DISPENSARY/MATERNITY,,BOX 372 DEDZA,,"19.5",25min,34.187500,-14.370833,14 22 15 - 34 11,"15",1998/05/02,TAR/DIRT - FAIR,"5","20","1980",CSC,MOH/LG,"19491","2600","0","0","1",,"0",0.00,0.00,0.00,,9600.00,"345","0",,0.00000000000,0.00000000000,,,,,,"79","79"
MTENDERE,DEDZA,DISPENSARY/MATERNITY,,BOX 38 MALIRANA,,"48.8",53min,34.082778,-14.312778,14 18 46 - 34 04,"8",1998/05/02,TAR/DIRT - POOR,"24","38","1992",CATHOLIC CHURCH,CHAM,"0","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"346","0",,0.00000000000,0.00000000000,,,,,,"80","80"
TSOYO,DEDZA,MATERNITY,,BOX 47 NKHOMA,,"60.8",1hr 20min,34.155833,-14.093611,14 05 37 - 34 09,"10",1998/05/01,TAR/DIRT - POOR,"7","29",,,LG,"0","0","180","0","0",,"0",0.00,0.00,0.00,,20000.00,"347","0",,0.00000000000,0.00000000000,,,,,,"81","81"
CHINGULUWE,SALIMA,DISPENSARY/MATERNITY,,BOX 95 SALIMA,,"19.3",33min,34.384167,-13.665000,13 39 54 - 34 23,,1998/03/10,TAR/DIRT - FAIR,"6","0","1974",SADD,MOH,"12000","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"387","0",,0.00000000000,0.00000000000,,,,,,"82","82"
CHIPOKA,SALIMA,DISPENSARY/MATERNITY,,BOX 23 CHIPOKA,,"27",20min,34.516111,-13.989444,13 59 22 - 34 30,,1998/03/11,TAR - GOOD,"7","28","1978",GERMAN GOVT,MOH,"15000","12000","276","0","1",,"0",0.00,0.00,0.00,,0.00,"388","0",,0.00000000000,0.00000000000,,,,,,"83","83"
CHITALA,SALIMA,DISPENSARY/MATERNITY,,BOX 21 CHITALA,,"23.5",43min,34.271944,-13.671389,13 40 17 - 34 16,,1998/03/10,TAR/DIRT - POOR,"7","43","1980",CATHOLIC CHURCH,CHAM,"7563","3282","255","0","0",,"0",0.00,0.00,0.00,,0.00,"389","0",,0.00000000000,0.00000000000,,,,,,"84","84"
GOLOMOTI,SALIMA,DISPENSARY/MATERNITY,,BOX 46 GOLOMOTI,,"77",1hr,34.600833,-14.413056,14 24 47 - 34 36,,1998/03/11,TAR - GOOD,"4","75","1974",GERMAN GOVT,MOH,"15800","0","300","0","1",,"0",0.00,0.00,0.00,,0.00,"390","0",,0.00000000000,0.00000000000,,,,,,"85","85"
KAPHATENGA,SALIMA,DISPENSARY/MATERNITY,,BOX 202 SALIMA,,"5.8",5min,34.383056,-13.762778,13 45 46 - 34 22,,1998/03/09,TAR - GOOD,"6","16","1961",CATHOLIC CHURCH,CHAM,"38286","48000","63","0","0",,"0",0.00,0.00,0.00,,0.00,"391","0",,0.00000000000,0.00000000000,,,,,,"86","86"
KAUNDA,SALIMA,DISPENSARY/MATERNITY,,BOX 31 GOLOMOTI,,"108.6",1hr 25min,34.628611,-14.293611,14 17 37 - 34 37,,1998/03/11,TAR/DIRT - POOR,"8","12","1973",CSC,CHAM,"12000","5000","411","1","1",,"0",0.00,0.00,0.00,,24000.00,"392","0",,0.00000000000,0.00000000000,,,,,,"87","87"
KHOMBEDZA,SALIMA,DISPENSARY/MATERNITY,,BOX 13 KHOMBEDZA,,"20",15min,34.312500,-13.595556,13 35 44 - 34 18,,1998/03/10,TAR - GOOD,"7","14","1972",GERMAN GOVT,MOH,"40000","24000","0","0","1",,"0",0.00,0.00,0.00,,0.00,"393","0",,0.00000000000,0.00000000000,,,,,,"88","88"
LIFUWU,SALIMA,DISPENSARY,,BOX 102 SALIMA,,"19.5",28min,34.588889,-13.679167,13 40 45 - 34 35,,1998/03/10,TAR/DIRT -FAIR,"0","0","1996",SADD,MOH,"8500","25000","0","0","1",,"0",0.00,0.00,0.00,,0.00,"394","0",,0.00000000000,0.00000000000,,,,,,"89","89"
MAFCO ARMED FORCES,SALIMA,DISPENSARY/MATERNITY,"743022",BOX 48 SALIMA,"261271","18",20min,34.603056,-13.775000,13 46 30 - 34 36,,1998/03/12,TAR/DIRT - POOR,"21","28","1978",MALAWI ARMY,ARMY,"10080","23326","75","1","1",,"0",0.00,0.00,0.00,,0.00,"395","0",,0.00000000000,0.00000000000,,,,,,"90","90"
MAGANGA,SALIMA,DISPENSARY/MATERNITY,,BOX 93 SALIMA,,"24",37min,34.558889,-13.847222,13 50 50 - 34 33,,1998/03/09,TAR/DIRT - POOR,"4","25","1990",SADD,MOH,"0","43797","300","0","1",,"0",0.00,0.00,0.00,,0.00,"396","0",,0.00000000000,0.00000000000,,,,,,"91","91"
MCHOKA,SALIMA,DISPENSARY/MATERNITY,,BOX 30 CHIPOKA,,"26",37min,34.489722,-13.925556,13 55 32 - 34 29,,1998/03/11,TAR/DIRT - FAIR,"8","37","1980",SADD,MOH,"19000","16800","80","0","1",,"0",0.00,0.00,0.00,,0.00,"397","0",,0.00000000000,0.00000000000,,,,,,"92","92"
MAKIONI,SALIMA,DISPENSARY/MATERNITY,,PA MAKIONI,,"29",20min,34.196944,-13.586111,13 35 10 - 34 11,,1998/03/10,TAR - GOOD,"8","25","1981",GERMAN GOVT,MOH,"12000","12150","336","0","1",,"0",0.00,0.00,0.00,,0.00,"398","0",,0.00000000000,0.00000000000,,,,,,"93","93"
MTAKATAKA,SALIMA,DISPENSARY/MATERNITY,,BOX 50 MTAKATAKA,,"51",30min,34.514722,-14.227222,14 13 38 - 34 30,,1998/03/11,TAR - GOOD,"7","28","1982",SADD,MOH,"0","27507","163","0","1",,"0",0.00,0.00,0.00,,0.00,"399","0",,0.00000000000,0.00000000000,,,,,,"94","94"
NAKALAZI,SALIMA,DISPENSARY/MATERNITY,,BOX 43 MTAKATAKA,,"44.8",35min,34.548611,-14.201944,14 12 07 - 34 32,,1998/03/11,TAR - GOOD,"6","0","1968",CATHOLIC CHURCH,CHAM,"0","0","566","0","0",,"0",0.00,0.00,0.00,,0.00,"401","0",,0.00000000000,0.00000000000,,,,,,"95","95"
NGODZI,SALIMA,DISPENSARY/MATERNITY,,BOX 21 NGODZI,,"38",30min,34.511667,-14.089722,14 05 23 - 34 30,,1998/03/11,TAR - GOOD,"17","23","1979",CATHOLIC CHURCH,CHAM,"0","0","358","1","1",,"0",0.00,0.00,0.00,,0.00,"402","0",,0.00000000000,0.00000000000,,,,,,"96","96"
PARACHUTE BATTALION,SALIMA,DISPENSARY,"261574",BOX 90 SALIMA,"261575","10.5",18min,34.587222,-13.745278,13 44 43 - 34 35,,1998/03/10,TAR/DIRT - FAIR,"0","0","1987",MALAWI ARMY,ARMY,"2041","10400","0","0","1",,"0",0.00,0.00,0.00,,0.00,"403","0",,0.00000000000,0.00000000000,,,,,,"97","97"
SENGA BAY,SALIMA,DISPENSARY,,BOX 50 SALIMA,,"25.6",30min,34.592500,-13.744444,13 44 40 - 34 35,,1998/03/12,TAR - GOOD/POOR,"0","0","1982",SOUTHERN BAPTIST CHU,CHAM,"24000","31200","10","0","0",,"0",0.00,0.00,0.00,,320000.00,"405","0",,0.00000000000,0.00000000000,,,,,,"98","98"
THAVITE,SALIMA,DISPENSARY/MATERNITY,,PA THAVITE,,"36.6",27min,34.261667,-13.497778,13 29 52 - 34 15,,1998/03/10,TAR - GOOD,"6","16","1966",CATHOLIC CHURCH,CHAM,"12000","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"406","0",,0.00000000000,0.00000000000,,,,,,"99","99"
KASUNGU BLM,KASUNGU,DISPENSARY,"253367",PVT BAG 162 KASUNGU,,,3min,33.481111,-13.048889,13 02 56 - 33 28,,1998/09/16,TAR - GOOD,"0","0","1996",BRITISH GOVERNMENT,BLM,"0","15000","0","0","0",,"0",0.00,0.00,0.00,,0.00,"531","0",,0.00000000000,0.00000000000,,,,,,"100","100"
KAMUZU ACADEMY,KASUNGU,DISPENSARY,"253488",PVT BAG MTHUNTHAMA,,,20min,33.688056,-13.029444,13 01 46 - 33 41,,1998/09/17,TAR - GOOD,"20","30","1981",HE KAMUZU,PVT,"0","3600","0","0","1",,"0",0.00,0.00,0.00,,72000.00,"532","0",,0.00000000000,0.00000000000,,,,,,"101","101"
BUA,KASUNGU,DISPENSARY,"256453",BOX 24 BUA,,,25min,33.538611,-13.294167,13 17 39 - 33 32,,1998/09/18,TAR - POOR,"1","0",,,MOH,"11000","2147","0","0","1",,"0",0.00,0.00,0.00,,0.00,"533","0",,0.00000000000,0.00000000000,,,,,,"102","102"
CHAMWABVI,KASUNGU,DISPENSARY,,BOX 274 KASUNGU,,,25min,33.685278,-13.107500,13 06 27 - 33 41,"7",1998/09/17,DIRT - FAIR,"0","0","1995",MOH,MOH,"25664","28531","0","0","0",,"0",0.00,0.00,0.00,,0.00,"534","0",,0.00000000000,0.00000000000,,,,,,"103","103"
CHULU,KASUNGU,DISPENSARY/MATERNITY,,PA CHULU,,,45min,33.308056,-12.821944,12 49 19 - 33 18,,1998/09/16,DIRT - FAIR,"5","80",,,MOH,"38326","22299","357","0","1",,"0",0.00,0.00,0.00,,0.00,"535","0",,0.00000000000,0.00000000000,,,,,,"104","104"
DWANGWA,KASUNGU,DISPENSARY,,BOX 19 KASUNGU,,,15min,33.453333,-12.881389,12 52 53 - 33 27,,1998/09/16,TAR - GOOD,"0","0","1997",PHN,MOH,"10024","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"536","0",,0.00000000000,0.00000000000,,,,,,"105","105"
KFCTA,KASUNGU,DISPENSARY/MATERNITY,"253769",PVT BAG 25 KASUNGU,,,20min,33.503611,-13.279722,13 16 47 - 33 30,,1998/09/18,TAR/DIRT - GOOD,"4","25",,KFCTA,PVT,"0","17599","135","0","0",,"0",0.00,0.00,0.00,,0.00,"537","0",,0.00000000000,0.00000000000,,,,,,"106","106"
KALULUMA,KASUNGU,PRIMARY HEALTH CENTRE,CHISEMPER27,BOX 66 NKHAMENYA,,,43min,33.519167,-12.580278,12 34 49 - 33 31,"2",1998/09/16,DIRT - FAIR,"68","41","1958",,MOH,"36000","33491","600","0","0",,"0",0.00,0.00,0.00,,0.00,"538","0",,0.00000000000,0.00000000000,,,,,,"107","107"
KAMBONI,KASUNGU,DISPENSARY/MATERNITY,,BOX 351 KASUNGU,,,40min,33.182222,-13.307222,13 18 26 - 33 10,"23",1998/09/15,DIRT - FAIR,"8","62","199",UNICEF,MOH,"21000","9403","326","0","1",,"0",0.00,0.00,0.00,,0.00,"539","0",,0.00000000000,0.00000000000,,,,,,"108","108"
KAPELULA,KASUNGU,DISPENSARY/MATERNITY,,PA NDONDE KASUNGU,,,1hr 4min,33.871389,-12.877500,12 52 39 - 33 52,,1998/09/17,DIRT - FAIR,"7","0","1977",,MOH,"25644","21091","329","0","1",,"0",0.00,0.00,0.00,,0.00,"540","0",,0.00000000000,0.00000000000,,,,,,"109","109"
KASALIKA,KASUNGU,DISPENSARY,"253337",BOX 58 KASUNGU,,,8min,33.499167,-13.035000,13 02 06 - 33 29,,1998/09/17,TAR/DIRT - FAIR,"0","0","1992",PRIVATE,PVT,"0","8750","0","0","0",,"0",0.00,0.00,0.00,,0.00,"541","0",,0.00000000000,0.00000000000,,,,,,"110","110"
KASUNGU PRISON,KASUNGU,DISPENSARY,"253505",BOX 313 KASUNGU,,,5min,33.456944,-13.021389,13 01 17 - 33 27,,1998/09/17,TAR - GOOD,"0","0","1977",MALAWI PRISONS,PRISON,"500","7500","0","0","1",,"0",0.00,0.00,0.00,,0.00,"543","0",,0.00000000000,0.00000000000,,,,,,"111","111"
KAWAMBA,KASUNGU,DISPENSARY/MATERNITY,,PVT BAG KASUNGU,,,1hr,33.339167,-13.295556,13 17 44 - 33 20,"25",1998/09/15,DIRT - FAIR,"7","57","1980",WORLD BANK,MOH/LG,"19500","9308","236","0","1",,"0",0.00,0.00,0.00,,0.00,"545","0",,0.00000000000,0.00000000000,,,,,,"112","112"
KHOLA,KASUNGU,DISPENSARY/MATERNITY,,BOX 44 SANTHE,,,1hr 15min,33.317500,-13.343889,13 20 38 - 33 19,,1998/09/18,DIRT - FAIR,"0","0","1983",ESTATE,PVT,"14491","9879","163","0","0",,"0",0.00,0.00,0.00,,0.00,"546","0",,0.00000000000,0.00000000000,,,,,,"113","113"
LIFUPA,KASUNGU,DISPENSARY,,BOX 43 KASUNGU,,,55min,33.146944,-13.048889,13 02 56 - 33 08,,1998/09/17,DIRT - GOOD,"0","0","1972",MIN OF PARK & WILDLI,PARKS/WILD,"0","2500","0","0","0",,"0",0.00,0.00,0.00,,0.00,"547","0",,0.00000000000,0.00000000000,,,,,,"114","114"
LINYANGWA,KASUNGU,DISPENSARY/MATERNITY,,PVT BAG 25 KASUNGU,,,48min,33.300278,-13.143611,13 08 37 - 33 18,"30",1998/09/15,DIRT - FAIR,"2","200","1970",KFCTA,PVT,"0","13699","152","0","0",,"0",0.00,0.00,0.00,,0.00,"548","0",,0.00000000000,0.00000000000,,,,,,"115","115"
MKHOTA,KASUNGU,DISPENSARY/MATERNITY,,BOX 93 MKHOTA,,,1hr 5min,33.343611,-13.566389,13 33 59 - 33 20,"15",1998/09/18,DIRT - FAIR,"7","14","1980",KFW,MOH,"13581","11880","210","0","1",,"0",0.00,0.00,0.00,,0.00,"549","0",,0.00000000000,0.00000000000,,,,,,"116","116"
MTUNTHAMA,KASUNGU,DISPENSARY/MATERNITY,,BOX 160 MTUNTHAMA,,,20min,33.682500,-13.030833,13 01 51 - 33 40,"8",1998/09/17,TAR - GOOD,"4","100","1979",HE KAMUZU,MOH,"32000","25124","303","0","1",,"0",0.00,0.00,0.00,,0.00,"550","0",,0.00000000000,0.00000000000,,,,,,"117","117"
NEWO,KASUNGU,DISPENSARY/MATERNITY,,BOX 34 NKHAMENYA,,,57min,33.381667,-12.582500,12 34 57 - 33 22,,1998/09/16,DIRT - FAIR,"7","0",,CCAP,CHAM,"3840","4633","252","0","1",,"0",0.00,0.00,0.00,,0.00,"551","0",,0.00000000000,0.00000000000,,,,,,"118","118"
SANTHE,KASUNGU,DISPENSARY/MATERNITY,,BOX 192 SANTHE,,,40min,33.393889,-13.466944,13 28 01 - 33 23,"15",1998/09/18,TAR/DIRT - FAIR,"7","28","1978",,MOH,"25680","34569","339","0","1",,"0",0.00,0.00,0.00,,0.00,"553","0",,0.00000000000,0.00000000000,,,,,,"119","119"
SIMLEMBA,KASUNGU,DISPENSARY/MATERNITY,,BOX 29 MTHABUA,,,1hr 5min,33.676111,-12.740833,12 44 27 - 33 40,"30",1998/09/16,DIRT - FAIR,"8","100","1978",,MOH,"35000","14567","303","0","1",,"0",0.00,0.00,0.00,,0.00,"554","0",,0.00000000000,0.00000000000,,,,,,"120","120"
THUPA,KASUNGU,DISPENSARY/MATERNITY,,BOX 50 NKAMENYA,,,33min,33.399444,-12.916111,12 54 58 - 33 23,,1998/09/16,DIRT - FAIR,"1","100","1977",KFCTA,PVT,"6600","10140","114","0","0",,"0",0.00,0.00,0.00,,0.00,"555","0",,0.00000000000,0.00000000000,,,,,,"121","121"
WIMBE,KASUNGU,DISPENSARY/MATERNITY,,BOX 24 NTUMA,,,34min,33.686944,-12.990833,12 59 27 - 33 41,"7",1998/09/17,DIRT - FAIR,"4","75","1958",DISTRICT COUNCIL,MOH/LG,"23000","5918","396","0","0",,"0",0.00,0.00,0.00,,0.00,"556","0",,0.00000000000,0.00000000000,,,,,,"122","122"
NTCHEU BLM,NTCHEU,DISPENSARY,,BOX 332 NTCHEU,,,3min,34.634444,-14.814722,14 48 53 - 34 38,,1998/10/02,TAR - GOOD,"0","0","1996",BRITISH GOVERNMENT,BLM,"0","18250","0","0","0",,"0",0.00,0.00,0.00,,0.00,"557","0",,0.00000000000,0.00000000000,,,,,,"123","123"
BILILA,NTCHEU,DISPENSARY/MATERNITY,BILILA 4,BOX 42 BILILA,,,50min,34.851389,-14.824722,14 49 29 - 34 51,,1998/09/29,TAR - GOOD,"8","25","1980",,MOH,"28000","73000","600","0","1",,"0",0.00,0.00,0.00,,0.00,"558","0",,0.00000000000,0.00000000000,,,,,,"124","124"
BIRIWIRI,NTCHEU,DISPENSARY/MATERNITY,,BOX 25 BIRIWIRI,,,11min,34.557500,-14.760833,14 45 39 - 34 33,,1998/10/17,TAR - GOOD,"13","15",,,MOH,"12000","43800","360","0","1",,"0",0.00,0.00,0.00,,0.00,"559","0",,0.00000000000,0.00000000000,,,,,,"125","125"
BWANJE,NTCHEU,DISPENSARY/MATERNITY,,BOX 3 BWANJE,,,1hr 5min,34.774722,-14.648056,14 38 53 - 34 46,"7",1998/09/29,TAR - GOOD,"6","100","1983",WORLD BANK,MOH,"30000","29200","600","0","1",,"0",0.00,0.00,0.00,,0.00,"560","0",,0.00000000000,0.00000000000,,,,,,"126","126"
CHANDO,NTCHEU,DISPENSARY,"235371",BOX 317 NTCHEU,,,3min,34.640556,-14.816667,14 49 00 - 34 38,,1998/10/02,TAR - GOOD,"0","0",,PRIVATE,PVT,"0","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"561","0",,0.00000000000,0.00000000000,,,,,,"127","127"
CHIGODI,NTCHEU,DISPENSARY/MATERNITY,,BOX 27 LIZULU,,,1hr 15min,34.541111,-14.492222,14 29 32 - 34 32,"16",1998/09/29,DIRT - FAIR,"6","50","1989",CSC,CHAM,"0","10950","312","0","1",,"0",0.00,0.00,0.00,,78000.00,"562","0",,0.00000000000,0.00000000000,,,,,,"128","128"
CHIKANDE,NTCHEU,DISPENSARY/MATERNITY,,BOX 50 BILILA,,,1hr 15min,34.907778,-14.772222,14 46 20 - 34 54,"15",1998/09/29,TAR/DIRT - FAIR,"9","55","1990",WORLD BANK,MOH,"10000","36500","384","0","1",,"0",0.00,0.00,0.00,,0.00,"563","0",,0.00000000000,0.00000000000,,,,,,"129","129"
DOVIKO,NTCHEU,DISPENSARY,,BOX 14 TSANGANO,,,1hr,34.590833,-15.082778,15 04 58 - 34 35,"15",1998/09/30,DIRT - POOR,"0","0","1989",SELF HELP,MOH,"9000","32650","0","0","0",,"0",0.00,0.00,0.00,,0.00,"564","0",,0.00000000000,0.00000000000,,,,,,"130","130"
DZONZI-MUAI,NTCHEU,DISPENSARY,"545263",BOX 46 NTCHEU,,,47min,34.642778,-14.948056,14 56 53 - 34 38,,1998/10/01,DIRT - POOR,"0","0","1977",FORESTRY,FORESTRY,"5000","0","0","0","0",,"0",0.00,0.00,0.00,,0.00,"565","0",,0.00000000000,0.00000000000,,,,,,"131","131"
DZUNJE,NTCHEU,DISPENSARY,,PA DZUNJE,,,30min,34.735556,-14.808056,14 48 29 - 34 44,,1998/09/30,DIRT - POOR,"0","0",,MOH,MOH,"21000","23625","0","0","0",,"0",0.00,0.00,0.00,,0.00,"566","0",,0.00000000000,0.00000000000,,,,,,"132","132"
GANYA,NTCHEU,MATERNITY,,BOX 24 KANDEU,,,48min,34.618611,-14.609444,14 36 34 - 34 37,"1",1998/09/29,DIRT - FAIR,"32","28",,CATHOLIC CHURCH,CHAM,"21680","1095","480","0","0",,"0",0.00,0.00,0.00,,14400.00,"567","0",,0.00000000000,0.00000000000,,,,,,"133","133"
GOWA,NTCHEU,DISPENSARY/MATERNITY,,PVT BAG 1 MLANJENI,,,34min,34.590000,-14.698889,14 41 56 - 34 35,,1998/09/29,DIRT - POOR,"19","5","1934",CHURCH OF CHRIST,CHAM,"13896","5475","360","0","0",,"0",0.00,0.00,0.00,,144000.00,"568","0",,0.00000000000,0.00000000000,,,,,,"134","134"
KALOGA,NTCHEU,DISPENSARY/MATERNITY,,PO KALOGA,,,42min,34.580833,-14.904444,14 54 16 - 34 34,,1998/09/30,DIRT - POOR,"6","100","1975",LOCAL COUNCIL,LG,"2700","5475","204","0","0",,"0",0.00,0.00,0.00,,12000.00,"569","0",,0.00000000000,0.00000000000,,,,,,"135","135"
KAMPANJE,NTCHEU,MATERNITY,,BOX 11 KANDEU,,,30min,34.587222,-14.590556,14 35 26 - 34 35,,1998/09/29,DIRT - POOR,"3","33","1988",SELF HELP,LG,"0","7300","180","0","0",,"0",0.00,0.00,0.00,,12000.00,"570","0",,0.00000000000,0.00000000000,,,,,,"136","136"
KANDEU,NTCHEU,DISPENSARY,,PA KANDEU,,,42min,34.615278,-14.603333,14 36 12 - 34 36,"1",1998/09/29,DIRT - FAIR,"0","0","1983",,MOH,"21680","73000","0","0","1",,"0",0.00,0.00,0.00,,0.00,"571","0",,0.00000000000,0.00000000000,,,,,,"137","137"
KAPENI,NTCHEU,DISPENSARY,,BOX 80 MATALE,,,53min,34.770278,-15.004722,15 00 17 - 34 46,,1998/09/30,DIRT - FAIR,"4","25","1993",AFRICAN DEV BANK,MOH,"9330","47450","0","0","0",,"0",0.00,0.00,0.00,,0.00,"572","0",,0.00000000000,0.00000000000,,,,,,"138","138"
KASINJE,NTCHEU,DISPENSARY/MATERNITY,,BOX 10 KASINJE,,,50min,34.676389,-14.523056,14 31 23 - 34 40,"20",1998/09/29,TAR - GOOD,"8","38","1969",SELF HELP,MOH,"29000","54750","420","0","1",,"0",0.00,0.00,0.00,,0.00,"573","0",,0.00000000000,0.00000000000,,,,,,"139","139"
KATSEKERA,NTCHEU,DISPENSARY/MATERNITY,,BOX 51 KALONGA,,,1hr 10min,34.640556,-15.032778,15 01 58 - 34 38,"10",1998/09/30,DIRT - POOR,"23","17",,,MOH,"10440","9125","4800","0","1",,"0",0.00,0.00,0.00,,0.00,"574","0",,0.00000000000,0.00000000000,,,,,,"140","140"
LIZULU,NTCHEU,DISPENSARY/MATERNITY,LIZULU 24,BOX 6 LIZULU,,,33min,34.465833,-14.517778,14 31 04 - 34 27,"7",1998/10/01,TAR - GOOD,"17","5","1961",UNHCR,MOH,"12000","34675","240","0","1",,"0",0.00,0.00,0.00,,0.00,"575","0",,0.00000000000,0.00000000000,,,,,,"141","141"
MANJAWIRA,NTCHEU,MATERNITY,,BOX 54 MANJAWIRA,,,41min,34.859444,-15.008056,15 00 29 - 34 51,,1998/09/30,TAR/DIRT - GOOD,"6","33",,L GOVERNMENT,LG,"0","10950","240","0","0",,"0",0.00,0.00,0.00,,24000.00,"576","0",,0.00000000000,0.00000000000,,,,,,"142","142"
MASASA,NTCHEU,DISPENSARY,,PO MASASA,,,1hr,34.421944,-14.433056,14 25 59 - 34 25,,1998/10/01,TAR - GOOD,"0","0","1988",UNHCR,MOH,"4720","14600","0","0","0",,"0",0.00,0.00,0.00,,0.00,"577","0",,0.00000000000,0.00000000000,,,,,,"143","143"
MATANDA,NTCHEU,DISPENSARY/MATERNITY,,BOX 63 TSANGANO,,,1hr 36min,34.668611,-15.105556,15 06 20 - 34 40,"15",1998/09/30,DIRT - POOR,"9","22","1988",ZAMBEZI EVANGELICAL,CHAM,"4427","10950","144","0","0",,"0",0.00,0.00,0.00,,0.00,"578","0",,0.00000000000,0.00000000000,,,,,,"144","144"
MLANDA,NTCHEU,PRIMARY HEALTH CENTRE,,BOX 20 MLANDA,,,53min,34.459444,-14.478889,14 28 44 - 34 27,,1998/10/01,TAR - GOOD,"10","60",,CCAP,CHAM,"6143","0","480","0","0",,"0",0.00,0.00,0.00,,0.00,"579","0",,0.00000000000,0.00000000000,,,,,,"145","145"
MLANGENI,NTCHEU,DISPENSARY/MATERNITY,MLANGENI 45,BOX 31 MLANGENI,,,27min,34.536389,-14.677222,14 40 38 - 34 32,"0.5",1998/10/01,TAR - GOOD,"7","28","1983",UNHCR,MOH,"5898","9125","480","0","1",,"0",0.00,0.00,0.00,,0.00,"580","0",,0.00000000000,0.00000000000,,,,,,"146","146"
MLANGENI LAKE VIEW,NTCHEU,DISPENSARY/MATERNITY,,BOX 72 MLANGENI,,,31min,34.553889,-14.642222,14 38 32 - 34 33,,1998/10/02,TAR - GOOD,"18","11","1962",SEVENTH DAY ADVENTIS,CHAM,"7329","7300","420","0","0",,"0",0.00,0.00,0.00,,96000.00,"581","0",,0.00000000000,0.00000000000,,,,,,"147","147"
MLANGENI POLICE,NTCHEU,DISPENSARY,235337 X 8,BOX 46 MLANGENI,,,23min,34.533611,-14.682222,14 40 56 - 34 32,"0.5",1998/10/01,TAR - GOOD,"0","0","1979",MALAWI POLICE,POLICE,"200","2190","0","0","0",,"0",0.00,0.00,0.00,,0.00,"582","0",,0.00000000000,0.00000000000,,,,,,"148","148"
MTONDA,NTCHEU,DISPENSARY/MATERNITY,,BOX 5 MATALE,,,53min,34.748333,-15.028056,15 01 41 - 34 44,,1998/09/30,DIRT - POOR,"16","81","1978",CSC,CHAM,"48000","54750","720","0","0",,"0",0.00,0.00,0.00,,12000.00,"583","0",,0.00000000000,0.00000000000,,,,,,"149","149"
NAMISU,NTCHEU,DISPENSARY,,BOX 47 MATALE,,,43min,34.781389,-15.083333,15 05 00 - 34 46,"15",1998/09/30,DIRT - POOR,"0","0","1995",WORLD VISION,CHAM,"4000","3650","0","0","0",,"0",0.00,0.00,0.00,,36000.00,"584","0",,0.00000000000,0.00000000000,,,,,,"150","150"
NSIPE,NTCHEU,PRIMARY HEALTH CENTRE,"235341",BOX 131 NTCHEU,,,12min,34.751667,-14.863889,14 51 50 - 34 45,,1998/09/29,TAR/DIRT - FAIR,"11","63",,CATHOLIC CHURCH,CHAM,"0","25550","600","0","0",,"0",0.00,0.00,0.00,,204000.00,"585","0",,0.00000000000,0.00000000000,,,,,,"151","151"
